Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
32768,74.42,3.66,124.69,20000,32,1,basic linear
65536,141.39,6.52,234.94,20000,32,1,basic linear
131072,278.18,13.63,462.73,20000,32,1,basic linear
262144,558.1,36.01,1022.61,20000,32,1,basic linear
524288,1027.68,75.21,1803.56,20000,32,1,basic linear
1,5.71,0.23,20.79,20000,64,1,basic linear
2,5.69,0.22,20.71,20000,64,1,basic linear
4,5.67,0.21,20.69,20000,64,1,basic linear
8,5.71,0.21,20.74,20000,64,1,basic linear
16,5.74,0.24,20.79,20000,64,1,basic linear
32,6.03,0.22,21.2,20000,64,1,basic linear
64,6.07,0.26,21.36,20000,64,1,basic linear
128,12.34,0.37,29.89,20000,64,1,basic linear
256,13.35,0.38,31.94,20000,64,1,basic linear
512,13.9,0.34,33.22,20000,64,1,basic linear
1024,15.45,0.38,35.53,20000,64,1,basic linear
2048,20.38,0.41,41.31,20000,64,1,basic linear
4096,28.25,0.62,52.92,20000,64,1,basic linear
8192,45.21,1.11,78.88,20000,64,1,basic linear
16384,80.6,2.16,139.38,20000,64,1,basic linear
32768,153.2,3.82,263.39,20000,64,1,basic linear
65536,292.15,6.87,496.8,20000,64,1,basic linear
131072,593.58,13.85,1015.44,20000,64,1,basic linear
262144,1163.4,37.2,2168.21,20000,64,1,basic linear
524288,2095.76,76.44,3770.16,20000,64,1,basic linear
1,14.11,0.33,47.91,20000,128,1,basic linear
2,14.4,0.43,48.15,20000,128,1,basic linear
4,14.28,0.32,47.93,20000,128,1,basic linear
8,14.32,0.32,48.01,20000,128,1,basic linear
16,14.37,0.32,48.02,20000,128,1,basic linear
32,14.61,0.32,48.25,20000,128,1,basic linear
64,14.87,0.32,48.95,20000,128,1,basic linear
128,28.08,0.45,66.55,20000,128,1,basic linear
256,30.57,0.48,73.01,20000,128,1,basic linear
512,30.6,0.5,72.82,20000,128,1,basic linear
1024,34.39,0.54,78.33,20000,128,1,basic linear
2048,47.19,0.66,94.94,20000,128,1,basic linear
4096,64.44,1.01,120.62,20000,128,1,basic linear
8192,103.28,1.51,178.03,20000,128,1,basic linear
16384,197.55,2.37,329.61,20000,128,1,basic linear
32768,344.54,4.45,581.11,20000,128,1,basic linear
65536,661.47,8.51,1125.75,20000,128,1,basic linear
131072,1423.83,27.75,2394.72,20000,128,1,basic linear
262144,2508.47,40.18,4682.47,20000,128,1,basic linear
524288,4381.64,89.17,7984.48,20000,128,1,basic linear
1,33.75,0.14,84.35,20000,256,1,basic linear
2,33.89,0.14,84.52,20000,256,1,basic linear
4,33.9,0.14,84.53,20000,256,1,basic linear
8,33.98,0.14,84.62,20000,256,1,basic linear
16,34.43,0.14,85.28,20000,256,1,basic linear
32,35.21,0.14,86.55,20000,256,1,basic linear
64,36.43,0.14,88.67,20000,256,1,basic linear
128,73.31,0.26,140.45,20000,256,1,basic linear
256,78.55,0.26,153.96,20000,256,1,basic linear
512,79.48,0.34,155.56,20000,256,1,basic linear
1024,87.93,0.44,169.18,20000,256,1,basic linear
2048,122.42,0.52,215.67,20000,256,1,basic linear
4096,162.05,0.82,274.04,20000,256,1,basic linear
8192,242.85,1.42,399.9,20000,256,1,basic linear
16384,462.48,2.54,761.31,20000,256,1,basic linear
32768,878.72,4.83,1449.12,20000,256,1,basic linear
65536,1789.17,13.28,2929.91,20000,256,1,basic linear
131072,3704.26,34.48,6190.22,20000,256,1,basic linear
262144,5095.21,42.61,9654.83,20000,256,1,basic linear
524288,11218.39,81.74,19534.45,20000,256,1,basic linear
1,1.74,0.11,3.37,20000,2,2,binomial
2,1.74,0.11,3.37,20000,2,2,binomial
4,1.74,0.11,3.37,20000,2,2,binomial
8,1.74,0.11,3.37,20000,2,2,binomial
16,1.74,0.11,3.38,20000,2,2,binomial
32,1.83,0.11,3.55,20000,2,2,binomial
64,1.9,0.11,3.69,20000,2,2,binomial
128,1.82,0.12,3.52,20000,2,2,binomial
256,2.19,0.14,4.24,20000,2,2,binomial
512,2.25,0.16,4.33,20000,2,2,binomial
1024,2.42,0.21,4.63,20000,2,2,binomial
2048,2.71,0.2,5.21,20000,2,2,binomial
4096,3.16,0.26,6.07,20000,2,2,binomial
8192,3.8,0.44,7.16,20000,2,2,binomial
16384,4.41,0.98,7.83,20000,2,2,binomial
32768,6.1,1.94,10.27,20000,2,2,binomial
