Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
262144,2549.41,36.1,5058.53,20000,128,3,pipeline
524288,5081.82,75.67,10080.49,20000,128,3,pipeline
1,31.71,0.11,62.38,20000,256,3,pipeline
2,30.41,0.11,60.52,20000,256,3,pipeline
4,29.96,0.11,59.82,20000,256,3,pipeline
8,28.7,0.11,57.42,20000,256,3,pipeline
16,28.9,0.11,57.67,20000,256,3,pipeline
32,32.39,0.11,64.14,20000,256,3,pipeline
64,31.57,0.11,62.57,20000,256,3,pipeline
128,42.54,0.18,85.25,20000,256,3,pipeline
256,43.42,0.18,86.42,20000,256,3,pipeline
512,50.55,0.19,100.1,20000,256,3,pipeline
1024,57.38,0.21,113.76,20000,256,3,pipeline
2048,85.59,0.24,162.3,20000,256,3,pipeline
4096,110.0,0.34,212.3,20000,256,3,pipeline
8192,172.16,0.44,329.02,20000,256,3,pipeline
16384,554.99,3.57,1102.85,20000,256,3,pipeline
32768,832.96,5.03,1656.07,20000,256,3,pipeline
65536,1412.52,9.05,2808.24,20000,256,3,pipeline
131072,2607.31,17.39,5183.36,20000,256,3,pipeline
262144,5109.27,36.75,10176.95,20000,256,3,pipeline
524288,10151.13,78.19,20221.55,20000,256,3,pipeline
1,1.76,0.1,3.42,20000,2,5,binary tree
2,1.75,0.11,3.4,20000,2,5,binary tree
4,1.77,0.11,3.43,20000,2,5,binary tree
8,1.75,0.11,3.4,20000,2,5,binary tree
16,1.76,0.11,3.41,20000,2,5,binary tree
32,1.86,0.11,3.61,20000,2,5,binary tree
64,2.27,0.11,4.43,20000,2,5,binary tree
128,1.87,0.12,3.63,20000,2,5,binary tree
256,2.42,0.55,4.29,20000,2,5,binary tree
512,2.43,0.36,4.49,20000,2,5,binary tree
1024,2.97,0.97,4.98,20000,2,5,binary tree
2048,3.61,3.2,4.01,20000,2,5,binary tree
4096,4.45,4.32,4.59,20000,2,5,binary tree
8192,5.24,5.14,5.33,20000,2,5,binary tree
16384,5.92,5.85,5.99,20000,2,5,binary tree
32768,8.04,7.78,8.3,20000,2,5,binary tree
65536,12.09,10.59,13.59,20000,2,5,binary tree
131072,17.58,16.09,19.07,20000,2,5,binary tree
262144,28.01,26.51,29.5,20000,2,5,binary tree
524288,49.38,47.86,50.9,20000,2,5,binary tree
1,0.83,0.54,0.96,20000,4,5,binary tree
2,0.82,0.53,0.96,20000,4,5,binary tree
4,0.84,0.55,0.96,20000,4,5,binary tree
8,0.82,0.54,0.96,20000,4,5,binary tree
16,0.84,0.61,0.97,20000,4,5,binary tree
32,0.91,0.66,1.12,20000,4,5,binary tree
64,1.28,0.9,1.82,20000,4,5,binary tree
128,0.98,0.81,1.17,20000,4,5,binary tree
256,1.38,1.19,1.69,20000,4,5,binary tree
512,1.61,1.34,2.0,20000,4,5,binary tree
1024,1.98,1.63,2.43,20000,4,5,binary tree
2048,1.82,1.0,2.66,20000,4,5,binary tree
4096,2.43,1.11,3.67,20000,4,5,binary tree
8192,4.86,3.81,6.07,20000,4,5,binary tree
16384,7.51,4.84,10.35,20000,4,5,binary tree
32768,9.92,7.0,13.01,20000,4,5,binary tree
65536,14.03,10.73,17.49,20000,4,5,binary tree
131072,24.64,19.22,30.14,20000,4,5,binary tree
262144,43.67,29.23,58.24,20000,4,5,binary tree
524288,80.97,55.46,106.53,20000,4,5,binary tree
1,2.11,0.15,4.05,20000,8,5,binary tree
2,2.09,0.15,4.02,20000,8,5,binary tree
4,2.1,0.15,4.04,20000,8,5,binary tree
8,2.09,0.15,4.02,20000,8,5,binary tree
16,2.16,0.15,4.11,20000,8,5,binary tree
32,2.26,0.16,4.38,20000,8,5,binary tree
64,2.69,0.16,5.19,20000,8,5,binary tree
128,2.48,0.26,4.67,20000,8,5,binary tree
256,2.92,0.27,5.69,20000,8,5,binary tree
512,3.09,0.28,5.99,20000,8,5,binary tree
1024,3.55,0.3,6.56,20000,8,5,binary tree
2048,3.56,0.38,6.64,20000,8,5,binary tree
4096,3.92,0.45,7.28,20000,8,5,binary tree
8192,4.99,0.63,9.41,20000,8,5,binary tree
